Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,SKU,Category,Sub-Category,Product Name,Sales,Quantity,Unit Price
23,US-CN-2014-391963,1/8/2014,1/10/2014,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,ACC-WAT-1000-136,Small Leather,Wallets,Wristlet Perry Coral Pink,971.66,8,120
24,US-SB-2014-683333,1/9/2014,1/12/2014,Standard Class,MS-17830,Melanie Seite,Small Business,United States,Laredo,Texas,78041,Central,ACC-FRA-1000-398,Accessories,Fragrance,Colorfully Luxe,8128.97,75,108
25,US-SB-2014-635166,1/9/2014,1/12/2014,Standard Class,MS-17830,Melanie Seite,Small Business,United States,Laredo,Texas,78041,Central,SL-CLT-1000-321,Small Leather,Clutches,Petite Lee,22467.57,113,199
26,US-SB-2014-575333,1/10/2014,1/13/2014,Standard Class,AJ-10780,Anthony Jacobs,Small Business,United States,Springfield,Virginia,22153,South,ACC-MB-1000-457,Accessories,Makeup Bags,Printed Nylon Cosmetic Case,4533.96,93,49
27,US-SB-2014-555381,1/10/2014,1/13/2014,Standard Class,AJ-10780,Anthony Jacobs,Small Business,United States,Springfield,Virginia,22153,South,BAG-MINI-1000-461,Handbags,Mini Bags,Perry Mini Bag Lemon Drop,18413.44,93,199
28,US-SB-2014-180788,1/11/2014,1/12/2014,First Class,SV-20365,Seth Vernon,Small Business,United States,Dover,Delaware,19901,East,BAG-MINI-1000-356,Handbags,Mini Bags,Perry Mini Bag Bright Indigo,24859.59,125,199
29,US-CN-2014-682495,1/12/2014,1/14/2014,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,ACC-SUN-1000-477,Accessories,Sunglasses,Large Square,1270.6,6,199
30,US-CN-2014-837576,1/12/2014,1/14/2014,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,ACC-MB-1000-116,Accessories,Makeup Bags,Fleming Small Makeup Bag Coral Pink,469.29,10,49
31,US-SB-2014-321155,1/12/2014,1/14/2014,Second Class,DW-13195,David Wiener,Small Business,United States,Springfield,Oregon,97477,West,ACC-SCA-1000-307,Accessories,Scarves,Striped Traveler,881.12,13,69
32,US-SB-2014-222357,1/12/2014,1/13/2014,First Class,TS-21340,Toby Swindell,Small Business,United States,Scottsdale,Arizona,85254,West,SL-PCH-1000-280,Small Leather,Pouches,Classic Pencil Pouch,3160.55,32,99
33,US-SB-2014-790206,1/12/2014,1/13/2014,First Class,TS-21340,Toby Swindell,Small Business,United States,Scottsdale,Arizona,85254,West,ACC-BELT-1000-156,Accessories,Belts,Bow Loop Belt Black,625.73,13,49
34,US-SB-2014-233068,1/12/2014,1/13/2014,First Class,TS-21340,Toby Swindell,Small Business,United States,Scottsdale,Arizona,85254,West,ACC-HAT-1000-487,Accessories,Hats,Sunhat,622.53,16,39
35,US-SB-2014-134097,1/12/2014,1/13/2014,First Class,TS-21340,Toby Swindell,Small Business,United States,Scottsdale,Arizona,85254,West,BAG-CRO-1000-148,Handbags,Cross Body Bag,Miller Crossbody Camello,6368.99,16,399
36,US-SB-2014-847224,1/12/2014,1/15/2014,Standard Class,HL-15040,Hunter Lopez,Small Business,United States,Jonesboro,Arkansas,72401,South,ACC-WAT-1000-223,Small Leather,Wallets,Wristlet Perry Indigo,2681.68,22,120
37,US-SB-2014-694995,1/12/2014,1/15/2014,Standard Class,HL-15040,Hunter Lopez,Small Business,United States,Jonesboro,Arkansas,72401,South,ACC-FRA-1000-398,Accessories,Fragrance,Colorfully Luxe,2413.51,22,108
38,US-SB-2014-877031,1/12/2014,1/15/2014,Standard Class,HL-15040,Hunter Lopez,Small Business,United States,Jonesboro,Arkansas,72401,South,BAG-MINI-1000-487,Handbags,Mini Bags,Perry Mini Bag Coral Pink,2541.21,13,199
39,US-CN-2014-133292,1/13/2014,1/15/2014,Second Class,CS-12250,Chris Selesnick,Consumer,United States,Bossier City,Louisiana,71111,South,ACC-HAT-1000-487,Accessories,Hats,Sunhat,156.63,4,39
40,US-CN-2014-269432,1/13/2014,1/15/2014,Second Class,CS-12250,Chris Selesnick,Consumer,United States,Bossier City,Louisiana,71111,South,ACC-HAT-1000-487,Accessories,Hats,Sunhat,234.94,6,39
41,US-SB-2014-704672,1/13/2014,1/15/2014,Second Class,CS-12250,Chris Selesnick,Small Business,United States,Bossier City,Louisiana,71111,South,SL-CLT-1000-321,Small Leather,Clutches,Petite Lee,2397.59,12,199
42,US-CN-2014-126067,1/13/2014,1/15/2014,Second Class,CS-12250,Chris Selesnick,Consumer,United States,Bossier City,Louisiana,71111,South,SL-PCH-1000-280,Small Leather,Pouches,Classic Pencil Pouch,596.39,6,99
43,US-SB-2014-211741,1/13/2014,1/15/2014,Second Class,CS-12250,Chris Selesnick,Small Business,United States,Bossier City,Louisiana,71111,South,ACC-WAT-1000-265,Accessories,Watches,Hollis Leather Watch,2397.59,12,199
44,US-SB-2014-186117,1/13/2014,1/15/2014,Second Class,ND-18370,Natalie DeCherney,Small Business,United States,Mount Pleasant,South Carolina,29464,South,BAG-SHO-1000-266,Handbags,Shoulder Bag,Soft Fleming Shell Pink,5409.64,12,449
45,US-SB-2014-395967,1/13/2014,1/16/2014,Standard Class,BD-11605,Brian Dahlen,Small Business,United States,San Francisco,California,94109,West,BAG-TOT-1000-324,Handbags,Tote,Triple Compartment Tote Silver Maple,4006.02,10,399
46,US-CN-2014-116713,1/13/2014,1/16/2014,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,BAG-CRO-1000-216,Handbags,Cross Body Bag,Flap Crossbody Red Apple,2704.82,6,449
47,US-SB-2014-352560,1/13/2014,1/16/2014,Standard Class,BD-11605,Brian Dahlen,Small Business,United States,San Francisco,California,94109,West,ACC-FRA-1000-398,Accessories,Fragrance,Colorfully Luxe,1084.34,10,108
48,US-SB-2014-343274,1/13/2014,1/16/2014,Standard Class,MM-17920,Michael Moore,Small Business,United States,Newark,Ohio,43055,East,ACC-BELT-1000-156,Accessories,Belts,Bow Loop Belt Black,688.75,14,49
49,US-CN-2014-613397,1/13/2014,1/16/2014,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,SL-PCH-1000-283,Small Leather,Pouches,Stripe Large Pouch,397.59,4,99
50,US-SB-2014-605660,1/14/2014,1/15/2014,First Class,BS-11590,Brendan Sweed,Small Business,United States,Philadelphia,Pennsylvania,19140,East,BAG-CRO-1000-148,Handbags,Cross Body Bag,Miller Crossbody Camello,40148.2,101,399
51,US-SB-2014-736690,1/15/2014,1/16/2014,First Class,EH-13990,Erica Hackney,Small Business,United States,Roswell,Georgia,30076,South,SL-CLT-1000-418,Small Leather,Clutches,Drawstring Bag Qulted,36133.27,182,199
52,US-SB-2014-231185,1/16/2014,1/18/2014,Second Class,DL-13315,Delfina Latchford,Small Business,United States,Philadelphia,Pennsylvania,19134,East,BAG-MINI-1000-356,Handbags,Mini Bags,Perry Mini Bag Bright Indigo,18270.48,92,199
53,US-SB-2014-881818,1/16/2014,1/18/2014,Second Class,DL-13315,Delfina Latchford,Small Business,United States,Philadelphia,Pennsylvania,19134,East,ACC-WAT-1000-136,Small Leather,Wallets,Wristlet Perry Coral Pink,5508.69,46,120
54,US-SB-2014-383017,1/16/2014,1/18/2014,Second Class,DL-13315,Delfina Latchford,Small Business,United States,Philadelphia,Pennsylvania,19134,East,ACC-SUN-1000-477,Accessories,Sunglasses,Large Square,6090.16,31,199
55,US-SB-2014-360871,1/16/2014,1/18/2014,Second Class,DL-13315,Delfina Latchford,Small Business,United States,Philadelphia,Pennsylvania,19134,East,ACC-MB-1000-116,Accessories,Makeup Bags,Fleming Small Makeup Bag Coral Pink,2249.38,46,49
56,US-SB-2014-867471,1/17/2014,1/20/2014,Standard Class,HL-15040,Hunter Lopez,Small Business,United States,Jonesboro,Arkansas,72401,South,ACC-WAT-1000-223,Small Leather,Wallets,Wristlet Perry Indigo,7858.11,65,120
57,US-SB-2014-534708,1/17/2014,1/20/2014,Standard Class,HL-15040,Hunter Lopez,Small Business,United States,Jonesboro,Arkansas,72401,South,ACC-FRA-1000-398,Accessories,Fragrance,Colorfully Luxe,7072.3,65,108
58,US-SB-2014-473673,1/17/2014,1/20/2014,Standard Class,HL-15040,Hunter Lopez,Small Business,United States,Jonesboro,Arkansas,72401,South,BAG-MINI-1000-487,Handbags,Mini Bags,Perry Mini Bag Coral Pink,7446.49,37,199
59,US-SB-2014-542111,1/17/2014,1/20/2014,Standard Class,HL-15040,Hunter Lopez,Small Business,United States,Jonesboro,Arkansas,72401,South,ACC-FRA-1000-456,Accessories,Fragrance,Travel Spray,617.42,28,22
60,US-SB-2014-733962,1/17/2014,1/20/2014,Standard Class,HL-15040,Hunter Lopez,Small Business,United States,Jonesboro,Arkansas,72401,South,ACC-HAT-1000-487,Accessories,Hats,Sunhat,1094.52,28,39
61,US-SB-2014-434306,1/18/2014,1/20/2014,Second Class,DW-13195,David Wiener,Small Business,United States,Springfield,Oregon,97477,West,ACC-SCA-1000-307,Accessories,Scarves,Striped Traveler,26096.31,378,69
62,US-SB-2014-271516,1/19/2014,1/20/2014,First Class,TS-21340,Toby Swindell,Small Business,United States,Scottsdale,Arizona,85254,West,SL-PCH-1000-280,Small Leather,Pouches,Classic Pencil Pouch,6475.29,65,99
63,US-SB-2014-409889,1/19/2014,1/20/2014,First Class,TS-21340,Toby Swindell,Small Business,United States,Scottsdale,Arizona,85254,West,ACC-BELT-1000-156,Accessories,Belts,Bow Loop Belt Black,1281.98,26,49
64,US-SB-2014-606303,1/19/2014,1/20/2014,First Class,TS-21340,Toby Swindell,Small Business,United States,Scottsdale,Arizona,85254,West,ACC-HAT-1000-487,Accessories,Hats,Sunhat,1275.44,33,39
65,US-SB-2014-296161,1/19/2014,1/20/2014,First Class,TS-21340,Toby Swindell,Small Business,United States,Scottsdale,Arizona,85254,West,BAG-CRO-1000-148,Handbags,Cross Body Bag,Miller Crossbody Camello,13048.68,33,399
66,US-SB-2014-343865,1/20/2014,1/23/2014,Standard Class,HL-15040,Hunter Lopez,Small Business,United States,Jonesboro,Arkansas,72401,South,BAG-SHO-1000-183,Handbags,Shoulder Bag,Soft Fleming Navy,6551.07,15,449
67,US-CN-2014-487126,1/20/2014,1/23/2014,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,ACC-BELT-1000-156,Accessories,Belts,Bow Loop Belt Black,476.62,10,49
68,US-CN-2014-168700,1/20/2014,1/23/2014,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,BAG-MINI-1000-487,Handbags,Mini Bags,Perry Mini Bag Coral Pink,1935.65,10,199
69,US-CN-2014-817619,1/20/2014,1/23/2014,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,BAG-TOT-1000-301,Handbags,Tote,Triple Compartment Tote Sand,1940.52,5,399
70,US-SB-2014-297323,1/20/2014,1/23/2014,Standard Class,XP-21865,Xylona Preis,Small Business,United States,Westland,Michigan,48185,Central,BAG-MINI-1000-487,Handbags,Mini Bags,Perry Mini Bag Coral Pink,2903.48,15,199
71,US-SB-2014-782514,1/20/2014,1/23/2014,Standard Class,XP-21865,Xylona Preis,Small Business,United States,Westland,Michigan,48185,Central,SL-PCH-1000-283,Small Leather,Pouches,Stripe Large Pouch,2407.41,24,99
72,US-SB-2014-833248,1/20/2014,1/23/2014,Standard Class,XP-21865,Xylona Preis,Small Business,United States,Westland,Michigan,48185,Central,ACC-SCA-1000-322,Accessories,Scarves,Jacquard,1342.31,19,69
73,US-CN-2014-877199,1/20/2014,1/23/2014,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,BAG-TOT-1000-324,Handbags,Tote,Triple Compartment Tote Silver Maple,3881.04,10,399
74,US-SB-2014-272275,1/21/2014,1/23/2014,Second Class,TB-21400,Tom Boeckenhauer,Small Business,United States,Miami,Florida,33180,South,BAG-MINI-1000-356,Handbags,Mini Bags,Perry Mini Bag Bright Indigo,42876.2,215,199
75,US-SB-2014-750564,1/22/2014,1/25/2014,Standard Class,XP-21865,Xylona Preis,Small Business,United States,Westland,Michigan,48185,Central,ACC-FRA-1000-398,Accessories,Fragrance,Colorfully Luxe,5286.54,49,108
76,US-SB-2014-380498,1/22/2014,1/25/2014,Standard Class,XP-21865,Xylona Preis,Small Business,United States,Westland,Michigan,48185,Central,BAG-MINI-1000-461,Handbags,Mini Bags,Perry Mini Bag Lemon Drop,9740.94,49,199
77,US-SB-2014-767974,1/22/2014,1/25/2014,Standard Class,XP-21865,Xylona Preis,Small Business,United States,Westland,Michigan,48185,Central,ACC-SUN-1000-248,Accessories,Sunglasses,Painted Rim,16234.91,82,199
78,US-SB-2014-227501,1/22/2014,1/25/2014,Standard Class,MM-18280,Muhammed MacIntyre,Small Business,United States,Smyrna,Tennessee,37167,South,BAG-CRO-1000-216,Handbags,Cross Body Bag,Flap Crossbody Red Apple,7326.1,16,449
79,US-SB-2014-467038,1/23/2014,1/26/2014,Standard Class,IM-15055,Ionia McGrath,Small Business,United States,Las Vegas,Nevada,89115,West,ACC-BELT-1000-252,Accessories,Belts,Bow Loop Belt Rosy Cheeks,24536.34,501,49
80,US-SB-2014-321668,1/23/2014,1/26/2014,Standard Class,SG-20605,Speros Goranitis,Small Business,United States,Lafayette,Indiana,47905,Central,ACC-KCH-1000-372,Accessories,Keychains,Legacy Logo Metal Keychain,9764.46,250,39
81,US-SB-2014-386929,1/24/2014,1/27/2014,Standard Class,GA-14725,Guy Armstrong,Small Business,United States,Dallas,Texas,75081,Central,BAG-CRO-1000-355,Handbags,Cross Body Bag,Miller Crossbody Off White,4805.52,12,399
82,US-SB-2014-158297,1/24/2014,1/25/2014,First Class,JH-15430,Jennifer Halladay,Small Business,United States,Hialeah,Florida,33012,South,BAG-MINI-1000-356,Handbags,Mini Bags,Perry Mini Bag Bright Indigo,2396.74,12,199
83,US-CN-2014-827290,1/24/2014,1/25/2014,First Class,JH-15430,Jennifer Halladay,Consumer,United States,Hialeah,Florida,33012,South,SL-CH-1000-452,Small Leather,Card Holders,Sylvia Card Holder,473.73,8,59
84,US-SB-2014-629317,1/24/2014,1/27/2014,Standard Class,PO-18865,Patrick O'Donnell,Small Business,United States,East Orange,New Jersey,7017,East,SL-CLT-1000-321,Small Leather,Clutches,Petite Lee,2396.74,12,199
85,US-SB-2014-775983,1/24/2014,1/27/2014,Standard Class,PO-18850,Patrick O'Brill,Small Business,United States,Burlington,Iowa,52601,Central,ACC-BELT-1000-156,Accessories,Belts,Bow Loop Belt Black,983.59,20,49
86,US-CN-2014-431467,1/24/2014,1/27/2014,Standard Class,TC-21535,Tracy Collins,Consumer,United States,Columbus,Ohio,43229,East,BAG-SHO-1000-183,Handbags,Shoulder Bag,Soft Fleming Navy,3605.14,8,449
87,US-CN-2014-560231,1/24/2014,1/24/2014,Same Day,YC-21895,Yoseph Carroll,Consumer,United States,Fremont,Nebraska,68025,Central,ACC-WAT-1000-239,Accessories,Watches,Quilted Leather Watch,1597.83,8,199
88,US-SB-2014-387445,1/24/2014,1/27/2014,Standard Class,KB-16240,Karen Bern,Small Business,United States,Odessa,Texas,79762,Central,ACC-BELT-1000-252,Accessories,Belts,Bow Loop Belt Rosy Cheeks,590.15,12,49
89,US-CN-2014-189334,1/24/2014,1/24/2014,Same Day,DR-12880,Dan Reichenbach,Consumer,United States,Newark,Ohio,43055,East,ACC-WAT-1000-110,Small Leather,Wallets,Wristlet Perry Lemon Drop,963.51,8,120
90,US-SB-2014-502722,1/24/2014,1/24/2014,Same Day,DR-12880,Dan Reichenbach,Small Business,United States,Newark,Ohio,43055,East,ACC-FRA-1000-456,Accessories,Fragrance,Travel Spray,353.29,16,22
91,US-SB-2014-630009,1/24/2014,1/26/2014,Second Class,KH-16690,Kristen Hastings,Small Business,United States,San Francisco,California,94110,West,BAG-CRO-1000-297,Handbags,Cross Body Bag,Nylon Color Block Crossbody,6182.54,16,385
92,US-SB-2014-677974,1/24/2014,1/27/2014,Standard Class,JF-15415,Jennifer Ferguson,Small Business,United States,New York City,New York,10024,East,ACC-MB-1000-457,Accessories,Makeup Bags,Printed Nylon Cosmetic Case,1377.02,28,49
93,US-SB-2014-588460,1/25/2014,1/28/2014,Standard Class,JF-15415,Jennifer Ferguson,Small Business,United States,New York City,New York,10024,East,ACC-KCH-1000-372,Accessories,Keychains,Legacy Logo Metal Keychain,717.55,18,39
94,US-SB-2014-709462,1/25/2014,1/28/2014,Standard Class,JF-15415,Jennifer Ferguson,Small Business,United States,New York City,New York,10024,East,BAG-SHO-1000-474,Handbags,Shoulder Bag,Soft Fleming Black,14456.89,32,449
95,US-SB-2014-594421,1/25/2014,1/28/2014,Standard Class,JF-15415,Jennifer Ferguson,Small Business,United States,New York City,New York,10024,East,ACC-WAT-1000-330,Small Leather,Wallets,Wallet on Chain,4125.94,14,299
96,US-CN-2014-444632,1/25/2014,1/28/2014,Standard Class,GH-14665,Greg Hansen,Consumer,United States,Round Rock,Texas,78664,Central,ACC-FRA-1000-467,Accessories,Fragrance,Bloom Blush,2281.46,9,248
97,US-CN-2014-292912,1/25/2014,1/28/2014,Standard Class,GH-14665,Greg Hansen,Consumer,United States,Round Rock,Texas,78664,Central,BAG-CRO-1000-297,Handbags,Cross Body Bag,Nylon Color Block Crossbody,3541.78,9,385
98,US-CN-2014-427358,1/25/2014,1/28/2014,Standard Class,HM-14860,Harry Marie,Consumer,United States,Seattle,Washington,98103,West,BAG-MINI-1000-356,Handbags,Mini Bags,Perry Mini Bag Bright Indigo,1830.69,9,199
99,US-CN-2014-700843,1/25/2014,1/28/2014,Standard Class,EH-14005,Erica Hernandez,Consumer,United States,Nashville,Tennessee,37211,South,ACC-WAT-1000-239,Accessories,Watches,Quilted Leather Watch,915.34,5,199
100,US-SB-2014-764792,1/26/2014,1/29/2014,Standard Class,SD-20485,Shirley Daniels,Small Business,United States,Alexandria,Virginia,22304,South,BAG-MINI-1000-461,Handbags,Mini Bags,Perry Mini Bag Lemon Drop,2200.1,11,199
101,US-SB-2014-859354,1/26/2014,1/29/2014,Standard Class,SD-20485,Shirley Daniels,Small Business,United States,Alexandria,Virginia,22304,South,ACC-WAT-1000-239,Accessories,Watches,Quilted Leather Watch,5866.93,29,199
102,US-SB-2014-319134,1/26/2014,1/29/2014,Standard Class,SD-20485,Shirley Daniels,Small Business,United States,Alexandria,Virginia,22304,South,ACC-BELT-1000-156,Accessories,Belts,Bow Loop Belt Black,541.73,11,49
103,US-CN-2014-376049,1/26/2014,1/29/2014,Standard Class,SD-20485,Shirley Daniels,Consumer,United States,Alexandria,Virginia,22304,South,ACC-BELT-1000-252,Accessories,Belts,Bow Loop Belt Rosy Cheeks,361.16,7,49
104,US-SB-2014-410240,1/26/2014,1/29/2014,Standard Class,SD-20485,Shirley Daniels,Small Business,United States,Alexandria,Virginia,22304,South,ACC-WAT-1000-355,Small Leather,Wallets,Wristlet Perry Navy,5749,48,120
105,US-SB-2014-827968,1/26/2014,1/29/2014,Standard Class,SD-20485,Shirley Daniels,Small Business,United States,Alexandria,Virginia,22304,South,BAG-MINI-1000-365,Handbags,Mini Bags,Perry Mini Bag Navy,2200.1,11,199
106,US-CN-2014-217889,1/26/2014,1/29/2014,Standard Class,SD-20485,Shirley Daniels,Consumer,United States,Alexandria,Virginia,22304,South,ACC-WAT-1000-223,Small Leather,Wallets,Wristlet Perry Indigo,884.46,7,120
107,US-CN-2014-538399,1/26/2014,1/27/2014,First Class,CA-11965,Carol Adams,Consumer,United States,Rapid City,South Dakota,57701,Central,BAG-CRO-1000-381,Handbags,Cross Body Bag,Nylon Printed Crossbody,2837.65,7,385
108,US-CN-2014-194705,1/26/2014,1/27/2014,First Class,CA-11965,Carol Adams,Consumer,United States,Rapid City,South Dakota,57701,Central,BAG-CRO-1000-355,Handbags,Cross Body Bag,Miller Crossbody Off White,2940.83,7,399
109,US-SB-2014-368179,1/27/2014,1/30/2014,Standard Class,EJ-13720,Ed Jacobs,Small Business,United States,San Diego,California,92037,West,BAG-SHO-1000-474,Handbags,Shoulder Bag,Soft Fleming Black,4811.83,11,449
110,US-SB-2014-509035,1/27/2014,1/30/2014,Standard Class,EJ-13720,Ed Jacobs,Small Business,United States,San Diego,California,92037,West,BAG-TOT-1000-324,Handbags,Tote,Triple Compartment Tote Silver Maple,12827.97,32,399
111,US-SB-2014-582076,1/27/2014,1/30/2014,Standard Class,EJ-13720,Ed Jacobs,Small Business,United States,San Diego,California,92037,West,ACC-FRA-1000-398,Accessories,Fragrance,Colorfully Luxe,4629.64,43,108
112,US-SB-2014-851439,1/28/2014,1/31/2014,Standard Class,JC-15340,Jasper Cacioppo,Small Business,United States,New York City,New York,10024,East,BAG-CRO-1000-297,Handbags,Cross Body Bag,Nylon Color Block Crossbody,44538.88,116,385
113,US-CN-2014-165635,1/29/2014,1/31/2014,Second Class,PC-18745,Pamela Coakley,Consumer,United States,Loveland,Colorado,80538,West,BAG-SHO-1000-414,Handbags,Shoulder Bag,Soft Fleming Norwood,3295.16,7,449
114,US-SB-2014-499383,1/29/2014,1/30/2014,First Class,JG-15310,Jason Gross,Small Business,United States,Long Beach,California,90805,West,BAG-SHO-1000-266,Handbags,Shoulder Bag,Soft Fleming Shell Pink,9885.48,22,449
115,US-SB-2014-670601,1/29/2014,2/1/2014,Standard Class,LO-17170,Lori Olson,Small Business,United States,Peoria,Illinois,61604,Central,BAG-SHO-1000-266,Handbags,Shoulder Bag,Soft Fleming Shell Pink,8237.9,18,449
116,US-SB-2014-622529,1/29/2014,2/1/2014,Standard Class,LO-17170,Lori Olson,Small Business,United States,Peoria,Illinois,61604,Central,BAG-MINI-1000-365,Handbags,Mini Bags,Perry Mini Bag Navy,2190.66,11,199
117,US-CN-2014-862128,1/29/2014,2/1/2014,Standard Class,LO-17170,Lori Olson,Consumer,United States,Peoria,Illinois,61604,Central,BAG-SHO-1000-183,Handbags,Shoulder Bag,Soft Fleming Navy,3295.16,7,449
118,US-SB-2014-554629,1/29/2014,1/31/2014,Second Class,JW-15955,Joni Wasserman,Small Business,United States,Raleigh,North Carolina,27604,South,BAG-SHO-1000-266,Handbags,Shoulder Bag,Soft Fleming Shell Pink,6590.32,15,449
